StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,AWNA,PLNA,PLA,AWA,QTime_First Click,QTime_Last Click,QTime_Page Submit,QTime_Click Count,Age,School,Employment,HHI,Industry,Sex,per_week,time_spent,lifestyle,attention,country,statement,lose,win_work,win_invest,confirm
2019-03-15 16:30:48,2019-03-15 16:32:12,IP Address,76.20.214.200,100,84,True,2019-03-15 16:32:14,R_2AG1iekRNpQBS9K,,,,,33.899200439453125,-84.85720062255859375,anonymous,EN,,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$11.16, $10.93, $10.87, $11.10, $11.15, $10.93, $11.34, $11.14, $10.59, $10.08, $10.79, $11.77, $11.35, $10.79, $10.97, $11.41, $11.02, $10.66, $11.01, $11.21",9.192,9.192,16.352,1,35 - 44,Bachelor's degree in college (4-year),Full-time employed,"$40,000 - $49,999",Government,Female,Daily,3 - 4 hours,Mechanical Turk money is always needed to make basic ends meet,,The United States,,Select here to acknowledge your understanding,,,4543
2019-03-15 16:31:48,2019-03-15 16:33:49,IP Address,71.193.162.104,100,121,True,2019-03-15 16:33:51,R_1Lb8KEhlnsz8FW8,,,,,46.147796630859375,-122.971099853515625,anonymous,EN,,"Investment Choice - Receipt of $9.00 with 50 percent probability, receipt of $13.00 with 50 percent probability",,,15.198,15.198,16.28,1,35 - 44,Associate or Technical degree in college (2-year),Full-time employed,"$70,000 - $79,999","Construction, extraction, and maintenance",Male,Daily,More than 7 hours,Mechanical Turk money is always needed to make basic ends meet,,The United States,,,,Select here to acknowledge your understanding,1148
2019-03-15 16:33:12,2019-03-15 16:34:45,IP Address,172.222.206.102,100,93,True,2019-03-15 16:34:47,R_1n7b8NxCRDni9yY,,,,,34.2610015869140625,-116.8130950927734375,anonymous,EN,,"Investment Choice - Receipt of $9.00 with 50 percent probability, receipt of $13.00 with 50 percent probability",,,21.38,21.38,22.836,1,35 - 44,Bachelor's degree in college (4-year),Full-time employed,"$20,000 - $29,999","Management, professional, and related",Male,2-3 times a week,3 - 4 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,Select here to acknowledge your understanding,,,1543
2019-03-15 16:34:10,2019-03-15 16:35:16,IP Address,172.7.244.112,100,66,True,2019-03-15 16:35:18,R_5oMtyaWQHrjUKwp,,,,,32.887603759765625,-97.21320343017578125,anonymous,EN,,,Wage Choice - Guaranteed Receipt of $10.00,,0.371,0.371,1.038,1,25 - 34,Some college but no degree,Full-time employed,"$70,000 - $79,999","Construction, extraction, and maintenance",Male,Daily,More than 7 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,,Select here to acknowledge your understanding,,4783
2019-03-15 16:34:13,2019-03-15 16:36:08,IP Address,69.126.14.165,100,114,True,2019-03-15 16:36:09,R_AvAB7m6UmcfTa49,,,,,40.7050933837890625,-73.2429962158203125,anonymous,EN,,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$11.16, $10.93, $10.87, $11.10, $11.15, $10.93, $11.34, $11.14, $10.59, $10.08, $10.79, $11.77, $11.35, $10.79, $10.97, $11.41, $11.02, $10.66, $11.01, $11.21",21.784,21.784,22.975,1,35 - 44,Bachelor's degree in college (4-year),Full-time employed,"$60,000 - $69,999",Sales and office,Female,4-6 times a week,3 - 4 hours,Mechanical Turk money is sometimes needed to make basic ends meet,,The United States,,Select here to acknowledge your understanding,,,1356
2019-03-15 16:34:05,2019-03-15 16:36:12,IP Address,75.13.139.146,100,127,True,2019-03-15 16:36:13,R_OKa83sBeOVOMTap,,,,,38.575897216796875,-90.51670074462890625,anonymous,EN,"Investment Choice - Receipt of $10 with 50% probability, receipt of $12 with 50% probability",,,,22.968,22.968,54.176,1,35 - 44,High school graduate (high school diploma or equivalent including GED),Full-time employed,"$30,000 - $39,999",Service,Male,Daily,3 - 4 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,Select here to acknowledge your understanding,,,9029
2019-03-15 16:33:01,2019-03-15 16:36:45,IP Address,73.250.52.100,100,223,True,2019-03-15 16:36:46,R_1rAEOD9CKC9TZrW,,,,,38.9217987060546875,-75.429901123046875,anonymous,EN,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$9.45, $10.47, $8.69, $10.95, $10.95, $11.79, $11.74, $11.81, $10.58, $11.54, $12.26, $12.29, $8.93, $12.21, $11.33, $11.25, $11.22, $8.99, $11.84, $8.92",,47.434,47.434,49.205,1,35 - 44,Associate or Technical degree in college (2-year),Full-time employed,"$30,000 - $39,999",Sales and office,Female,4-6 times a week,More than 7 hours,Mechanical Turk money is always needed to make basic ends meet,,The United States,,Select here to acknowledge your understanding,,,4256
2019-03-15 16:34:34,2019-03-15 16:37:07,IP Address,24.188.70.210,100,153,True,2019-03-15 16:37:09,R_1EWk61WjCYi3vBj,,,,,41.081695556640625,-74.18609619140625,anonymous,EN,,"Investment Choice - Receipt of $9.00 with 50 percent probability, receipt of $13.00 with 50 percent probability",,,34.305,34.305,39.618,1,35 - 44,Associate or Technical degree in college (2-year),Full-time employed,"$30,000 - $39,999",Sales and office,Female,Daily,3 - 4 hours,Mechanical Turk money is sometimes needed to make basic ends meet,,The United States,,Select here to acknowledge your understanding,,,6119
2019-03-15 16:37:14,2019-03-15 16:38:05,IP Address,174.252.192.101,100,51,True,2019-03-15 16:38:06,R_1hWmyzadOkkHX6s,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,,"Investment Choice - Receipt of $9.00 with 50 percent probability, receipt of $13.00 with 50 percent probability",,,2.825,2.825,3.714,1,35 - 44,Bachelor's degree in college (4-year),Full-time employed,"$60,000 - $69,999","Production, transportation, and material moving",Male,Daily,3 - 4 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,Select here to acknowledge your understanding,,,7089
2019-03-15 16:37:55,2019-03-15 16:38:55,IP Address,108.28.47.86,100,60,True,2019-03-15 16:38:57,R_3g5WjAlh2BsWEiR,,,,,38.930694580078125,-77.16729736328125,anonymous,EN,,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$11.16, $10.93, $10.87, $11.10, $11.15, $10.93, $11.34, $11.14, $10.59, $10.08, $10.79, $11.77, $11.35, $10.79, $10.97, $11.41, $11.02, $10.66, $11.01, $11.21",1.906,1.906,3.901,1,45 - 54,"Professional degree (JD, MD)",Full-time employed,"$100,000 - $149,999",Government,Female,Daily,3 - 4 hours,Mechanical Turk money does not materially change my financial situation,,The United States,,,,Select here to acknowledge your understanding,9317
2019-03-15 16:37:31,2019-03-15 16:40:20,IP Address,73.208.65.238,100,168,True,2019-03-15 16:40:22,R_vrjw6WndXCz6wql,,,,,41.7581939697265625,-88.29709625244140625,anonymous,EN,,"Investment Choice - Receipt of $9.00 with 50 percent probability, receipt of $13.00 with 50 percent probability",,,38.7,38.7,40.726,1,25 - 34,Bachelor's degree in college (4-year),Full-time employed,"$90,000 - $99,999",Sales and office,Male,Daily,3 - 4 hours,Mechanical Turk money does not materially change my financial situation,,The United States,,Select here to acknowledge your understanding,,,2198
2019-03-15 16:42:13,2019-03-15 16:44:20,IP Address,67.246.76.92,100,126,True,2019-03-15 16:44:21,R_1kY6nXoT6cCMyoI,,,,,43.339202880859375,-75.754302978515625,anonymous,EN,,Wage Choice - Guaranteed Receipt of $10.00,,,15.042,15.042,16.295,1,25 - 34,High school graduate (high school diploma or equivalent including GED),Not working and seeking employment (Unemployed),"Less than $10,000",Unemployed,Male,Daily,3 - 4 hours,Mechanical Turk money is always needed to make basic ends meet,,The United States,,Select here to acknowledge your understanding,,,4500
2019-03-15 16:44:07,2019-03-15 16:44:44,IP Address,47.16.232.38,100,37,True,2019-03-15 16:44:45,R_1jSRZJjIJOPn7by,,,,,41.1708984375,-74.36859893798828125,anonymous,EN,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$9.45, $10.47, $8.69, $10.95, $10.95, $11.79, $11.74, $11.81, $10.58, $11.54, $12.26, $12.29, $8.93, $12.21, $11.33, $11.25, $11.22, $8.99, $11.84, $8.92",,0.726,0.726,2.707,1,45 - 54,Some college but no degree,Full-time employed,"$70,000 - $79,999",Sales and office,Male,Daily,3 - 4 hours,Mechanical Turk money is sometimes needed to make basic ends meet,,The United States,,,,Select here to acknowledge your understanding,9275
2019-03-15 16:44:03,2019-03-15 16:46:14,IP Address,47.20.66.158,100,131,True,2019-03-15 16:46:15,R_3Pt7o5zzE5OYOBn,,,,,40.6750030517578125,-73.67310333251953125,anonymous,EN,,"Investment Choice - Receipt of $9.00 with 50 percent probability, receipt of $13.00 with 50 percent probability",,,20.525,20.525,22.271,1,35 - 44,Bachelor's degree in college (4-year),Full-time employed,"$30,000 - $39,999","Management, professional, and related",Female,4-6 times a week,3 - 4 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,Select here to acknowledge your understanding,,,1725
2019-03-15 16:44:15,2019-03-15 16:48:26,IP Address,98.208.98.186,100,251,True,2019-03-15 16:48:26,R_3k0LZUWlw7KtelU,,,,,38.4272003173828125,-121.4420013427734375,anonymous,EN,,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$11.16, $10.93, $10.87, $11.10, $11.15, $10.93, $11.34, $11.14, $10.59, $10.08, $10.79, $11.77, $11.35, $10.79, $10.97, $11.41, $11.02, $10.66, $11.01, $11.21",32.247,32.247,33.87,1,25 - 34,Bachelor's degree in college (4-year),Full-time employed,"$100,000 - $149,999",Other,Female,4-6 times a week,1 - 2 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,Select here to acknowledge your understanding,,,6765
2019-03-15 16:46:48,2019-03-15 16:49:28,IP Address,14.192.211.180,100,160,True,2019-03-15 16:49:29,R_Qg0N6Sc0hrGghJT,,,,,3.10650634765625,101.60791015625,anonymous,EN,,,Wage Choice - Guaranteed Receipt of $10.00,,40.744,40.744,44.043,1,25 - 34,Bachelor's degree in college (4-year),Full-time employed,"$40,000 - $49,999",Sales and office,Male,2-3 times a week,1 - 2 hours,Mechanical Turk money does not materially change my financial situation,,The United States,,,Select here to acknowledge your understanding,,2365
2019-03-15 16:45:09,2019-03-15 16:49:34,IP Address,208.114.92.90,100,264,True,2019-03-15 16:49:34,R_1nZOOKu0dmQYkwl,,,,,35.291107177734375,-95.6472015380859375,anonymous,EN,,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$11.16, $10.93, $10.87, $11.10, $11.15, $10.93, $11.34, $11.14, $10.59, $10.08, $10.79, $11.77, $11.35, $10.79, $10.97, $11.41, $11.02, $10.66, $11.01, $11.21",25.999,26.198,37.746,2,45 - 54,Master's degree,Part-time employed,"$30,000 - $39,999",Sales and office,Female,Daily,1 - 2 hours,Mechanical Turk money is always needed to make basic ends meet,,The United States,,Select here to acknowledge your understanding,,,8701
2019-03-15 16:48:32,2019-03-15 16:52:20,IP Address,45.22.14.237,100,227,True,2019-03-15 16:52:20,R_1FIXuQ5kCK6nn9I,,,,,41.434906005859375,-82.706298828125,anonymous,EN,"Investment Choice - Receipt of $10 with 50% probability, receipt of $12 with 50% probability",,,,27.942,27.942,31.091,1,25 - 34,Associate or Technical degree in college (2-year),Full-time employed,"$20,000 - $29,999",Service,Female,Daily,3 - 4 hours,Mechanical Turk money is sometimes needed to make basic ends meet,,The United States,,Select here to acknowledge your understanding,,,7006
2019-03-15 16:50:49,2019-03-15 16:55:14,IP Address,183.83.229.238,100,265,True,2019-03-15 16:55:16,R_6mLoS6NxwxluSw9,,,,,17.3784027099609375,78.47119140625,anonymous,EN,,,,Wage Choice - Guaranteed Receipt of $10.00,57.502,63.707,68.604,2,35 - 44,Bachelor's degree in college (4-year),Full-time employed,"Less than $10,000",Service,Male,Daily,1 - 2 hours,Mechanical Turk money is always needed to make basic ends meet,,India,,Select here to acknowledge your understanding,,,9083
2019-03-15 17:00:00,2019-03-15 17:01:30,IP Address,73.2.54.96,100,89,True,2019-03-15 17:01:31,R_3DvzkRz07oTdN2L,,,,,37.9185943603515625,-121.313201904296875,anonymous,EN,,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$11.16, $10.93, $10.87, $11.10, $11.15, $10.93, $11.34, $11.14, $10.59, $10.08, $10.79, $11.77, $11.35, $10.79, $10.97, $11.41, $11.02, $10.66, $11.01, $11.21",0.938,1.416,1.973,2,25 - 34,Some college but no degree,Part-time looking for full-time,"$40,000 - $49,999","Management, professional, and related",Male,Daily,1 - 2 hours,Mechanical Turk money does not materially change my financial situation,,The United States,,Select here to acknowledge your understanding,,,4822
2019-03-15 16:59:43,2019-03-15 17:04:54,IP Address,122.174.193.240,100,310,True,2019-03-15 17:04:55,R_SZC4dRMPX7EoVTb,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,,Wage Choice - Guaranteed Receipt of $10.00,,16.12,16.12,18.741,1,18 - 24,Bachelor's degree in college (4-year),Full-time employed,"$40,000 - $49,999","Management, professional, and related",Male,Daily,5 - 6 hours,Mechanical Turk money is always needed to make basic ends meet,,India,,Select here to acknowledge your understanding,,,2767
2019-03-15 16:59:54,2019-03-15 17:07:04,IP Address,42.109.139.181,100,430,True,2019-03-15 17:07:06,R_1IyNdWn5BqyniOR,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,,Wage Choice - Guaranteed Receipt of $10.00,,,61.587,61.587,63.176,1,25 - 34,Bachelor's degree in college (4-year),Full-time employed,"Less than $10,000",Sales and office,Male,Daily,1 - 2 hours,Mechanical Turk money is sometimes needed to make basic ends meet,,India,,Select here to acknowledge your understanding,,,6550
2019-03-15 13:09:34,2019-03-15 13:09:46,IP Address,183.82.212.106,3,12,False,2019-03-15 17:09:52,R_1i9WkLB4QxefDpI,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-15 13:10:35,2019-03-15 13:11:06,IP Address,198.24.30.139,97,30,False,2019-03-15 17:11:09,R_82rCzYXM4Aa5jBD,,,,,,,anonymous,EN,,,,Wage Choice - Guaranteed Receipt of $10.00,0,0,0.897,0,18 - 24,High school graduate (high school diploma or equivalent including GED),Part-time employed,"$10,000 - $19,999",Service,Female,2-3 times a week,30 - 60 minutes,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,India,,Select here to acknowledge your understanding,,,
2019-03-15 17:05:36,2019-03-15 17:11:17,IP Address,73.215.32.138,100,341,True,2019-03-15 17:11:18,R_3F34UMwDTAOO3q2,,,,,40.0641937255859375,-74.68990325927734375,anonymous,EN,,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$11.16, $10.93, $10.87, $11.10, $11.15, $10.93, $11.34, $11.14, $10.59, $10.08, $10.79, $11.77, $11.35, $10.79, $10.97, $11.41, $11.02, $10.66, $11.01, $11.21",58.331,58.331,59.715,1,65 - 74,Master's degree,Full-time employed,"More than $150,000","Management, professional, and related",Female,Daily,3 - 4 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,Select here to acknowledge your understanding,,,4863
2019-03-15 13:11:34,2019-03-15 13:11:55,IP Address,122.174.184.224,3,20,False,2019-03-15 17:12:08,R_3iUnjT9zWNeTWZd,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-15 13:10:57,2019-03-15 13:12:37,IP Address,75.172.163.127,97,100,False,2019-03-15 17:13:14,R_3O0kTiihh1XzQOQ,,,,,,,anonymous,EN,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$9.45, $10.47, $8.69, $10.95, $10.95, $11.79, $11.74, $11.81, $10.58, $11.54, $12.26, $12.29, $8.93, $12.21, $11.33, $11.25, $11.22, $8.99, $11.84, $8.92",,9.92,9.92,11.259,1,45 - 54,Some college but no degree,Full-time employed,"$50,000 - $59,999","Management, professional, and related",Female,Daily,3 - 4 hours,Mechanical Turk money does not materially change my financial situation,,The United States,,Select here to acknowledge your understanding,,,
2019-03-15 17:12:25,2019-03-15 17:13:29,IP Address,172.58.21.215,100,63,True,2019-03-15 17:13:31,R_28GTMmTUQ4Yr5YG,,,,,34.0648040771484375,-118.08599853515625,anonymous,EN,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$9.45, $10.47, $8.69, $10.95, $10.95, $11.79, $11.74, $11.81, $10.58, $11.54, $12.26, $12.29, $8.93, $12.21, $11.33, $11.25, $11.22, $8.99, $11.84, $8.92",,11.034,11.034,12.014,1,35 - 44,Bachelor's degree in college (4-year),Full-time employed,"$30,000 - $39,999",Sales and office,Male,2-3 times a week,30 - 60 minutes,Mechanical Turk money does not materially change my financial situation,,The United States,,Select here to acknowledge your understanding,,,8468
2019-03-15 17:12:42,2019-03-15 17:15:20,IP Address,71.198.228.190,100,158,True,2019-03-15 17:15:22,R_3m7Ww3MWtjpzzRX,,,,,37.768798828125,-122.26200103759765625,anonymous,EN,,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$11.16, $10.93, $10.87, $11.10, $11.15, $10.93, $11.34, $11.14, $10.59, $10.08, $10.79, $11.77, $11.35, $10.79, $10.97, $11.41, $11.02, $10.66, $11.01, $11.21",4.388,9.725,10.425,2,25 - 34,Master's degree,Full-time employed,"$100,000 - $149,999","Management, professional, and related",Male,4-6 times a week,Less than 30 minutes,Mechanical Turk money does not materially change my financial situation,,The United States,,Select here to acknowledge your understanding,,,5815
2019-03-15 13:10:30,2019-03-15 13:14:56,IP Address,122.164.40.41,57,266,False,2019-03-15 17:15:27,R_1PbcBa5y9OJN5Du,,,,,,,anonymous,EN,,,Wage Choice - Guaranteed Receipt of $10.00,,6.711,16.574,19.271,3,25 - 34,Master's degree,Part-time employed,"Less than $10,000",Sales and office,Female,4-6 times a week,30 - 60 minutes,Mechanical Turk money does not materially change my financial situation,First,India,,,,,
2019-03-15 17:14:06,2019-03-15 17:16:01,IP Address,98.151.192.68,100,115,True,2019-03-15 17:16:03,R_2BwUvQ8iHc7HjIZ,,,,,20.0081024169921875,-155.7052001953125,anonymous,EN,"Investment Choice - Receipt of $10 with 50% probability, receipt of $12 with 50% probability",,,,17.721,17.721,27.067,1,35 - 44,Bachelor's degree in college (4-year),Full-time employed,"$100,000 - $149,999","Management, professional, and related",Male,2-3 times a week,1 - 2 hours,Mechanical Turk money does not materially change my financial situation,,The United States,,Select here to acknowledge your understanding,,,2768
2019-03-15 17:15:55,2019-03-15 17:17:16,IP Address,67.1.21.19,100,81,True,2019-03-15 17:17:18,R_3wNZcZRFVnaiUiR,,,,,32.2122955322265625,-110.878997802734375,anonymous,EN,,"Investment Choice - Receipt of $9.00 with 50 percent probability, receipt of $13.00 with 50 percent probability",,,9.339,13.493,18.856,2,45 - 54,Bachelor's degree in college (4-year),Full-time employed,"$20,000 - $29,999",Sales and office,Male,4-6 times a week,3 - 4 hours,Mechanical Turk money is sometimes needed to make basic ends meet,,The United States,,Select here to acknowledge your understanding,,,5512
2019-03-15 17:20:43,2019-03-15 17:22:02,IP Address,68.47.84.142,100,78,True,2019-03-15 17:22:03,R_2AFhG1SURO0BTGc,,,,,44.834197998046875,-93.43890380859375,anonymous,EN,,,Wage Choice - Guaranteed Receipt of $10.00,,4.188,4.188,10.748,1,25 - 34,Bachelor's degree in college (4-year),Full-time employed,"$70,000 - $79,999","Management, professional, and related",Male,4-6 times a week,30 - 60 minutes,Mechanical Turk money does not materially change my financial situation,,The United States,,Select here to acknowledge your understanding,,,5458
2019-03-15 13:16:07,2019-03-15 13:22:48,IP Address,110.227.229.201,93,400,False,2019-03-15 17:23:16,R_2TXf1LZSSrtSb84,,,,,,,anonymous,EN,,,,Wage Choice - Guaranteed Receipt of $10.00,20.178,20.178,22.834,1,25 - 34,Master's degree,Full-time employed,"Less than $10,000",Other,Male,Daily,More than 7 hours,Mechanical Turk money is always needed to make basic ends meet,,India,,,,,
2019-03-15 17:22:10,2019-03-15 17:24:22,IP Address,68.42.19.97,100,132,True,2019-03-15 17:24:24,R_3hg9TPZHF1VIdkp,,,,,35.027801513671875,-85.1461029052734375,anonymous,EN,,"Investment Choice - Receipt of $9.00 with 50 percent probability, receipt of $13.00 with 50 percent probability",,,15.57,15.57,27.379,1,35 - 44,Associate or Technical degree in college (2-year),Part-time employed,"$30,000 - $39,999",Service,Female,4-6 times a week,3 - 4 hours,Mechanical Turk money is sometimes needed to make basic ends meet,,The United States,,,,Select here to acknowledge your understanding,2385
2019-03-15 17:22:39,2019-03-15 17:24:25,IP Address,67.255.242.198,100,105,True,2019-03-15 17:24:26,R_24CPsw5AHIV1QZr,,,,,42.96270751953125,-72.295501708984375,anonymous,EN,Wage Choice - Guaranteed Receipt of $10.00,,,,15.727,15.727,19.464,1,45 - 54,Bachelor's degree in college (4-year),Full-time employed,"$30,000 - $39,999",Other,Female,2-3 times a week,1 - 2 hours,Mechanical Turk money does not materially change my financial situation,,The United States,,Select here to acknowledge your understanding,,,1480
2019-03-15 13:25:20,2019-03-15 13:26:22,IP Address,73.119.218.69,93,62,False,2019-03-15 17:26:24,R_eUN4XEyYZ9e37i1,,,,,,,anonymous,EN,,,,Wage Choice - Guaranteed Receipt of $10.00,14.917,17.439,18.248,2,35 - 44,Some college but no degree,Full-time employed,"$100,000 - $149,999",Sales and office,Female,Daily,3 - 4 hours,Mechanical Turk money does not materially change my financial situation,,The United States,,,,,
2019-03-15 17:25:29,2019-03-15 17:28:12,IP Address,73.8.31.144,100,162,True,2019-03-15 17:28:13,R_2uBNJ1q46nefnZd,,,,,41.5930023193359375,-88.05069732666015625,anonymous,EN,,,,Wage Choice - Guaranteed Receipt of $10.00,18.064,18.064,19.992,1,55 - 64,High school graduate (high school diploma or equivalent including GED),Full-time employed,"$90,000 - $99,999","Production, transportation, and material moving",Female,4-6 times a week,3 - 4 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,Select here to acknowledge your understanding,,,5396
2019-03-15 13:33:06,2019-03-15 13:33:41,IP Address,24.6.175.172,93,35,False,2019-03-15 17:33:42,R_2AMcxKN8v01Vhib,,,,,,,anonymous,EN,,"Investment Choice - Receipt of $9.00 with 50 percent probability, receipt of $13.00 with 50 percent probability",,,0.908,0.908,3.184,1,35 - 44,Bachelor's degree in college (4-year),Full-time employed,"More than $150,000","Management, professional, and related",Male,Daily,5 - 6 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,,,,
2019-03-15 17:33:00,2019-03-15 17:34:52,IP Address,71.120.222.197,100,112,True,2019-03-15 17:34:54,R_3oRAyu9USse6ahM,,,,,36.8365936279296875,-76.1623992919921875,anonymous,EN,,,,Wage Choice - Guaranteed Receipt of $10.00,13.683,13.683,16.241,1,35 - 44,High school graduate (high school diploma or equivalent including GED),Full-time employed,"$30,000 - $39,999",Service,Female,Daily,30 - 60 minutes,Mechanical Turk money is always needed to make basic ends meet,,The United States,,Select here to acknowledge your understanding,,,7974
2019-03-15 17:32:21,2019-03-15 17:36:25,IP Address,49.205.252.169,100,243,True,2019-03-15 17:36:26,R_pRxuSkax1QtG8uZ,,,,,17.6999969482421875,83.29998779296875,anonymous,EN,,Wage Choice - Guaranteed Receipt of $10.00,,,34.167,34.167,35.332,1,35 - 44,Master's degree,Part-time employed,"$20,000 - $29,999","Management, professional, and related",Male,Daily,More than 7 hours,Mechanical Turk money is always needed to make basic ends meet,,India,,Select here to acknowledge your understanding,,,9197
2019-03-15 13:36:46,2019-03-15 13:39:10,IP Address,172.116.252.71,93,143,False,2019-03-15 17:39:14,R_1GPlx9AmTRjH3zb,,,,,,,anonymous,EN,,,Wage Choice - Guaranteed Receipt of $10.00,,11.901,21.368,22.325,3,25 - 34,Some college but no degree,Full-time employed,"$50,000 - $59,999","Management, professional, and related",Male,4-6 times a week,3 - 4 hours,Mechanical Turk money is sometimes needed to make basic ends meet,,The United States,,,,,
2019-03-15 17:38:29,2019-03-15 17:40:10,IP Address,98.144.251.73,100,100,True,2019-03-15 17:40:12,R_1erzKAvlX21txh1,,,,,42.901702880859375,-88.00859832763671875,anonymous,EN,"Investment Choice - Receipt of $10 with 50% probability, receipt of $12 with 50% probability",,,,16.152,16.152,21.031,1,35 - 44,Master's degree,Full-time employed,"$10,000 - $19,999",Service,Male,Daily,30 - 60 minutes,Mechanical Turk money is sometimes needed to make basic ends meet,,The United States,,Select here to acknowledge your understanding,,,6036
2019-03-15 17:40:08,2019-03-15 17:42:09,IP Address,107.77.198.71,100,121,True,2019-03-15 17:42:10,R_1DUVfghz83rDTng,,,,,32.9720001220703125,-96.7913970947265625,anonymous,EN,,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$11.16, $10.93, $10.87, $11.10, $11.15, $10.93, $11.34, $11.14, $10.59, $10.08, $10.79, $11.77, $11.35, $10.79, $10.97, $11.41, $11.02, $10.66, $11.01, $11.21",16.499,16.499,17.603,1,45 - 54,Master's degree,Not working and seeking employment (Unemployed),"$20,000 - $29,999",Unemployed,Male,Daily,5 - 6 hours,Mechanical Turk money is sometimes needed to make basic ends meet,,The United States,,Select here to acknowledge your understanding,,,8696
2019-03-15 17:41:20,2019-03-15 17:42:43,IP Address,162.221.246.8,100,82,True,2019-03-15 17:42:43,R_038O60qg8cTXhkJ,,,,,21.31329345703125,-157.822998046875,anonymous,EN,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$9.45, $10.47, $8.69, $10.95, $10.95, $11.79, $11.74, $11.81, $10.58, $11.54, $12.26, $12.29, $8.93, $12.21, $11.33, $11.25, $11.22, $8.99, $11.84, $8.92",,12.809,12.809,18.887,1,25 - 34,Bachelor's degree in college (4-year),Full-time employed,"$100,000 - $149,999",Government,Male,Daily,1 - 2 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,,,Select here to acknowledge your understanding,3896
2019-03-15 17:43:39,2019-03-15 17:45:27,IP Address,73.31.122.172,100,107,True,2019-03-15 17:45:27,R_2tfEFsTrNs2x6XO,,,,,38.4474945068359375,-78.86930084228515625,anonymous,EN,,,,"Investment Choice - Choose to ""invest"". You should know that the last 20 investment decisions yielded payouts of:

$11.16, $10.93, $10.87, $11.10, $11.15, $10.93, $11.34, $11.14, $10.59, $10.08, $10.79, $11.77, $11.35, $10.79, $10.97, $11.41, $11.02, $10.66, $11.01, $11.21",7.93,7.93,15.342,1,45 - 54,Associate or Technical degree in college (2-year),Full-time employed,"$30,000 - $39,999",Sales and office,Female,2-3 times a week,1 - 2 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,Select here to acknowledge your understanding,,,9800
2019-03-15 17:45:37,2019-03-15 17:46:34,IP Address,64.121.196.248,100,57,True,2019-03-15 17:46:34,R_Duyw6ABj23PVR6h,,,,,40.6956939697265625,-75.2864990234375,anonymous,EN,,"Investment Choice - Receipt of $9.00 with 50 percent probability, receipt of $13.00 with 50 percent probability",,,4.965,4.965,12.116,1,25 - 34,Some college but no degree,Full-time employed,"$60,000 - $69,999",Government,Male,Daily,1 - 2 hours,Mechanical Turk money allows me to purchase nice goods which otherwise would be out of reach,,The United States,,Select here to acknowledge your understanding,,,3292
